43902,411239,464908,3134,431539,464447,420008,49749,411192,313,433989,41974,214,45904,4523,48403,465045,44312,3175,422629,215,460907,435816,3135,26,338,3243,364,3221,211,24,22,23
413761,459850,433466,323,44715,411428,432861,449276,419882,3227,416625,453838,20,441711,430534,414429,446567,46149,329,428546,211,440088,437322,371,210,310,347,388,375,29,210,215,23
4193,423631,425041,3191,443627,47480,418066,43156,421608,3248,410193,424260,215,419183,444878,48421,41910,444843,3224,44723,214,446162,437782,3107,27,3163,3180,3118,3191,20,215,21,27
414255,416186,413892,3167,429201,465365,412251,446944,435568,3212,424579,428936,210,431406,464437,433546,410291,4980,312,465407,210,435612,428354,3126,28,3121,354,3105,322,210,213,213,21
4618,464822,424979,339,42059,410325,456364,411164,426404,376,465459,426422,26,416267,410506,425,44132,442903,387,444735,214,449049,462050,3223,20,3187,3233,3213,3197,27,28,214,27
421840,416698,49574,3243,45408,443562,450050,416259,439299,3184,420509,439326,215,460518,436230,442694,445278,42749,3152,456805,25,436421,442617,3142,21,3240,3207,3143,3148,214,21,24,27
434188,444813,415296,3170,48075,441811,419457,460924,415431,3127,461522,43820,28,416339,421811,44436,427891,428523,3210,463142,214,445281,459474,344,211,3212,311,322,350,20,21,212,20
443986,463995,447838,366,439351,411627,47526,444921,44471,368,450520,457765,215,458102,458130,449024,444132,452797,3206,436357,210,432857,445974,339,210,3165,336,347,378,26,213,214,28
434188,444813,415296,3170,48075,441811,419457,460924,415431,3127,461522,43820,28,416339,421811,44436,427891,439226,3210,463142,214,440938,459474,344,211,3212,311,322,350,26,21,212,20
421840,416698,49574,3141,45408,443562,450050,416259,439299,3184,420509,439326,215,460518,436230,442694,445278,42749,3152,420910,25,436421,442617,3142,21,3240,3207,3143,3148,214,21,24,27
416781,435648,4672,3178,458823,455181,43256,452641,441970,3178,4884,459643,213,412795,411133,422674,445954,460225,3175,424827,210,457410,454294,344,211,3215,3178,353,358,21,20,28,23
4193,423631,425041,3191,443627,47480,418066,43156,421608,3248,410193,424260,215,44073,444878,48421,41910,444843,3224,420456,214,432635,452564,3107,27,3163,3180,3118,3191,20,215,21,22
414255,416186,413892,3167,429201,465365,412251,446944,435568,364,424579,436918,210,431406,464437,433546,410291,4980,312,465407,210,435612,428354,3126,28,3121,354,3119,322,210,213,213,21
447731,444813,415296,3252,48075,452317,419457,460924,459183,3127,461522,43820,215,416339,421811,44436,427891,428523,3210,463142,214,445281,459474,344,211,3212,311,322,350,20,21,212,20
458086,445490,429580,3230,463809,464268,454874,416259,449832,3247,428865,45231,211,411421,415404,442918,444356,434094,3110,441130,26,420740,412089,3223,29,367,3101,345,32,23,212,215,27
443852,47071,413540,3223,439779,428140,440262,428597,426391,3107,440294,46545,210,427171,44618,45197,458791,41597,368,417004,22,447556,45713,3116,20,360,397,3245,3251,25,24,20,24
453760,435858,452469,3129,449379,430481,421326,425714,413966,3122,429361,425323,24,419780,461009,444234,416534,446284,3129,455552,21,412408,435656,3131,20,3187,37,3145,383,20,23,26,215
4618,464822,424979,339,42059,410325,456364,411164,426404,376,465459,426422,26,449218,410506,425,44132,442903,387,444735,214,449049,462050,3223,20,3237,3233,3213,3197,27,28,214,27
434188,444813,415296,3223,48075,441811,419457,460924,460001,3127,461522,43820,28,416339,421811,44436,427891,428523,3210,463142,214,445281,459474,344,211,3212,311,322,350,20,21,212,20
425670,455246,429623,329,410553,49354,430705,431624,434188,3202,442717,439201,21,416464,437409,42674,428198,441249,3139,445181,22,4719,439273,383,214,3240,30,356,370,21,211,25,212
