417568,430988,215,351,454277,49503,214,444119,457582,454581,432213,430399,3220,465395,215,445555,417413,3200,20,3240,3208,23,210,27,215
417568,430988,215,351,454277,49503,214,444119,457582,454581,432213,439256,3220,465395,215,445555,417413,3200,20,3240,3208,24,210,215,215
448052,443562,215,3119,444999,43839,24,455,443694,43874,436831,462377,317,425157,215,441710,457973,3177,215,3240,3240,213,23,211,20
417568,44654,215,351,424929,433551,20,412914,457582,460394,421973,453566,3164,437201,215,426631,442282,315,215,3196,3240,22,20,212,215
45884,430988,215,351,417910,433551,212,412914,457582,413040,421973,44734,3197,464377,21,426631,464195,315,215,3240,3245,20,27,27,20
45884,448942,215,351,417910,433551,212,412914,449661,413040,421973,440760,3178,464377,21,412020,465135,315,215,3240,3243,22,212,215,20
417568,449034,215,3114,431071,433551,20,412914,457582,460932,421973,440760,3197,464377,215,457589,463292,347,215,3240,3245,214,20,27,215
421056,443562,215,351,417910,49503,24,44865,421591,442148,447943,422100,332,464055,24,457589,435326,338,20,3250,3117,211,214,211,212
45884,443562,215,351,417910,433551,212,412914,457582,413040,421973,440760,3178,464377,21,426631,448460,315,215,3240,318,22,212,215,20
462209,432062,215,351,452296,43839,22,412914,457582,413040,421973,46174,384,419469,215,457589,43882,315,215,3240,3177,22,25,212,215
431024,449034,215,351,463255,49503,25,4305,443203,454581,412644,423813,321,447832,215,453337,48078,315,20,395,3117,28,214,212,20
417568,430988,215,351,416778,49503,214,412914,441480,454581,432213,439710,3255,465395,215,457589,417413,3200,20,3240,3208,24,210,215,215
417568,447642,215,351,417910,42952,20,412914,457582,460932,421973,440760,3197,421847,20,4556,442282,315,215,3240,3245,215,20,212,215
417568,443562,215,351,431071,433551,20,412914,457582,454425,421973,440760,3197,464377,215,457589,442282,347,215,3240,3245,214,20,27,211
421056,443562,215,351,417910,49503,24,44865,421591,442148,421973,438149,332,464055,24,457589,435326,338,20,3250,3117,211,215,211,212
45884,448942,215,351,417910,433551,20,412914,449661,413040,421973,440760,392,464377,21,412020,465135,360,215,3240,3243,22,212,215,212
417568,448942,215,351,417910,433551,212,412914,449661,413040,421973,440760,3178,464377,21,412020,465135,315,215,3240,3243,22,212,215,23
448052,443562,215,3119,444999,43839,24,455,443694,43874,436831,449923,3220,425157,215,441710,457973,3177,215,3240,3240,213,213,25,20
417568,447642,215,3114,417910,433551,20,455,457582,460932,421973,430562,3197,464377,215,457589,463292,315,215,3240,3245,214,20,210,215
448052,443562,215,35,47125,463481,24,412914,453093,43874,436831,419569,317,43374,215,441710,457973,355,25,3240,391,21,20,210,20
417568,447642,215,351,417910,433551,20,412914,457582,460932,421973,440760,3197,421847,215,462620,442282,315,215,3240,3245,214,20,27,215
421056,443562,215,351,417910,49503,24,44865,421591,442148,447943,422100,3197,46456,24,457589,435326,338,20,3250,3117,211,214,211,212
442976,443562,215,351,447988,49503,24,44865,423893,442148,447943,422100,3240,421847,24,457589,458922,315,20,3250,365,211,214,212,212
448052,443562,215,3119,444999,43839,215,455,443694,43874,421973,463534,3220,425157,215,441710,457973,3177,215,3240,3240,25,213,25,20
417568,447642,215,351,447988,433551,20,412914,457582,414532,421973,41023,3197,464377,215,426631,442282,315,215,3240,3245,214,20,215,215
417568,443562,215,351,435455,433551,20,4305,4259,42881,443759,431864,317,447832,25,445555,431269,315,29,3252,3208,20,211,27,25
421056,443562,215,351,43880,49503,24,44865,421591,442148,421973,438149,3205,464055,24,457589,435326,338,20,3250,3117,211,215,211,212
421056,443562,215,351,417910,49503,24,44865,421591,423434,447943,422100,3197,46456,24,457589,435326,315,20,3250,3117,211,214,211,212
417568,430988,215,351,416778,49503,214,412914,441480,454581,432213,439710,3255,465395,215,457589,441211,3200,20,3240,3208,24,210,215,215
464452,443562,215,351,435455,433551,20,4305,4259,454581,436270,444617,385,447832,27,445555,417413,315,29,3252,3208,20,21,20,25
417568,447642,215,351,417910,433551,20,412914,457582,460932,421973,415332,3197,421847,25,462620,448703,315,215,3240,3245,214,20,27,215
442976,443562,215,351,447988,49503,24,44865,423893,442148,447943,422100,3240,421847,24,457589,458922,315,20,3250,365,27,214,212,212
417568,443562,215,351,431071,433551,20,412914,457582,460932,421973,440760,3197,464377,215,457589,463292,347,215,3240,3245,25,20,27,215
448052,443562,215,3119,444999,43839,214,455,446245,43874,436831,449923,3220,464377,215,441710,457973,3177,215,3240,3240,213,213,25,213
421056,443562,215,351,417910,49503,24,44865,421591,442148,447943,422100,332,464055,24,457589,435326,370,23,3250,3117,211,214,211,212
421056,443562,215,351,417910,49503,24,44865,421591,442148,447943,422100,3197,46456,24,457589,435326,338,20,3250,3117,211,214,211,212
448052,443562,215,35,47125,463481,24,412914,453093,43874,436831,419569,317,43374,215,441710,457973,355,215,3240,391,21,20,21,20
417568,44654,215,351,424929,433551,20,412914,457582,463731,421973,431864,3197,464377,215,426631,442282,315,215,30,318,215,215,20,215
417568,430988,215,351,416778,49503,214,412914,441480,422551,421973,442068,3255,465395,215,457589,441211,3200,20,3240,3208,24,210,215,29
45884,443562,215,351,417910,433551,212,412914,457582,413040,421973,457939,3178,430988,21,426631,448460,315,215,3240,318,22,212,215,20
448052,443562,215,3119,444999,43839,24,455,443694,43874,436270,462377,317,425157,215,441710,457973,3179,215,3240,3240,213,23,211,20
448052,443562,215,3119,444999,43839,24,455,443694,414246,436831,449923,3220,465395,215,441710,457973,3177,215,3240,3240,213,213,25,20
45884,430988,215,351,417910,433551,20,412914,457582,413040,421973,411326,3197,464377,215,465192,442282,315,215,3240,318,22,215,27,210
417568,447642,215,351,41800,47335,20,412914,457582,456817,421973,41023,3197,464377,215,426631,442282,315,215,3240,3245,214,20,215,215
417568,459084,215,351,435455,433551,20,4305,4259,454581,432213,431864,3220,447832,25,445555,417413,315,22,3252,3208,20,21,22,215
420479,447642,210,351,463255,451165,210,455,4259,447803,417418,45017,331,421847,21,432522,458304,3168,23,395,385,212,27,212,215
417568,430988,215,351,417910,49503,214,444119,457582,454581,458115,430399,3220,465395,215,445555,447,3200,22,3240,3208,23,210,27,215
417568,448942,215,351,417910,433551,212,412914,449661,413040,421973,440760,3178,464377,21,412020,465135,315,215,3240,3243,22,212,215,23
421056,443562,215,351,43880,49503,24,44865,421591,447010,421973,438149,3205,464055,211,457589,435326,338,20,3250,3117,211,215,211,212
448052,443562,215,3119,444999,43839,214,455,446245,43874,436831,449923,3220,463431,23,441710,457973,3177,215,3240,3240,213,213,25,213
417568,443562,215,316,447988,433551,20,412914,457582,414532,421973,41023,3197,464377,215,426631,442282,315,215,3240,3245,214,20,215,215
417568,447642,215,3114,417910,433551,20,455,457582,460932,421973,430562,3197,464377,215,457589,463292,315,215,3240,3245,214,20,210,215
417568,447642,215,351,417910,433551,20,412914,457582,460932,421973,440760,3197,421847,215,42650,448703,315,215,3240,3245,214,20,27,215
