465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
465520,3204,212,464752,3178,432819,20,444815,416383,3255,215,215,20,20
443758,3252,211,464752,3117,465244,215,444815,416383,3255,215,20,210,20
465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
444974,3252,211,464752,3117,465244,215,444815,416383,3170,20,22,210,20
465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
465520,3238,20,464752,30,432819,20,444815,462634,3255,215,215,20,212
443758,3252,211,464752,3117,465244,215,444815,416383,3255,215,20,210,20
465520,3238,20,464752,30,432819,20,444815,416383,3255,215,215,20,212
465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
444974,3252,211,464752,3117,465244,215,444815,416383,3170,20,20,210,20
465520,3238,20,464752,30,432819,20,444815,465471,3255,215,215,20,212
465520,3238,20,464752,30,432819,20,444815,465471,3255,215,215,20,212
465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
465520,3238,20,464752,30,432819,20,444815,465471,3255,215,215,20,212
443758,3252,211,464752,3117,465244,215,444815,416383,3255,215,20,210,20
465520,3204,212,464752,3178,420560,210,444815,414131,3170,212,215,212,20
465520,3204,212,464752,3178,432819,20,444815,416383,3255,215,215,20,20
465520,3238,20,464752,30,432819,215,444815,436239,3255,215,215,20,20
465520,3238,20,464752,30,432819,20,444815,448802,3255,215,215,20,212
465520,3238,20,464752,30,432819,215,444815,416383,3255,215,215,20,20
465520,3238,20,464752,30,432819,20,444815,416383,3255,215,215,20,212
444974,3252,211,464752,3117,465244,215,444815,416383,3170,20,22,210,20
465520,3204,212,464752,3178,430464,20,444815,461520,3255,215,215,20,20
465520,3204,212,464752,3178,430464,20,444815,416383,3255,20,215,20,20
465520,3238,20,464752,30,432819,20,444815,462634,3255,215,215,20,212
443758,3252,211,464752,385,465244,215,444815,464507,3170,215,20,210,212
465520,3204,212,464752,3178,430464,20,444815,416383,3255,20,215,20,20
443758,3252,211,464752,3117,465244,215,444815,416383,3255,215,20,210,20
465520,3238,20,464752,30,432819,20,444815,436239,3255,215,215,20,20
